Date,Day,Person,Core,Layer,Treatment,Weight_No_Top_Cap_g,time_capped,time_elapsed_hours,time_elapsed_minutes,time_sampled,EGM_Sample,CO2_ppm,Notes,ambient_air_ppm
3/22/2021,Monday,Emily,6B,organic,1,44.3,13:28,1:20:00,80,14:48,8,566,"9&11, EGM was showing negative ppm so I resampled and it came back normal",
3/22/2021,Monday,Emily,6B,mineral,1,47.95,13:28,1:22:00,82,14:50,9,552,8&9,
3/22/2021,Monday,Emily,10,plant,1,42.45,13:31,1:21:00,81,14:52,10,644,8&8,
3/22/2021,Monday,Emily,10,organic,1,44.55,13:31,1:23:00,83,14:54,11,530,11&9,
3/22/2021,Monday,Emily,13,plant,1,42.58,13:31,1:25:00,85,14:56,12,726,9&12,
3/22/2021,Monday,Emily,13,organic,1,45.24,13:32,1:26:00,86,14:58,13,521,8&7,
3/22/2021,Monday,Emily,13,mineral,1,46.4,13:32,1:28:00,88,15:00,14,501,8&8,
3/22/2021,Monday,Emily,15,plant,1,42.98,13:32,1:30:00,90,15:02,15,660,9&8,
3/22/2021,Monday,Emily,15,organic,1,45.24,13:32,1:32:00,92,15:04,16,708,8&8,
3/22/2021,Monday,Emily,3A,plant,2,42.08,14:28,1:01:00,61,15:29,17,754,8&9,
3/22/2021,Monday,Emily,3A,organic,2,45.34,14:28,1:03:00,63,15:31,18,506,8&8,
3/22/2021,Monday,Emily,3A,mineral,2,43.69,14:28,1:05:00,65,15:33,19,421,8&10,
3/22/2021,Monday,Emily,7B,plant,2,42.97,14:29,1:06:00,66,15:35,20,756,10&10,
3/22/2021,Monday,Emily,7B,organic top,2,45.51,14:29,1:08:00,68,15:37,21,827,8&10,
3/22/2021,Monday,Emily,7B,organic bottom,2,46.2,14:29,1:10:00,70,15:39,22,827,9&9,
3/22/2021,Monday,Emily,8A,plant,2,43.48,14:31,1:10:00,70,15:41,23,718,8&9,
3/22/2021,Monday,Emily,8A,organic,2,45.16,14:31,1:12:00,72,15:43,24,707,9&9,
3/22/2021,Monday,Emily,8A,mineral,2,45.07,14:31,1:14:00,74,15:45,25,499,8&8,
3/22/2021,Monday,Emily,9,plant,2,41.19,14:32,1:15:00,75,15:47,26,587,10&9,
3/22/2021,Monday,Emily,9,organic,2,45.14,14:32,1:17:00,77,15:49,27,926,10&10,
3/22/2021,Monday,Emily,9,mineral,2,48.22,14:32,1:19:00,79,15:51,28,620,8&8,
3/22/2021,Monday,Emily,14A,plant,2,43.46,14:33,1:20:00,80,15:53,29,655,7&8,
3/22/2021,Monday,Emily,14A,organic,2,40.86,14:33,1:23:00,83,15:56,30,550,7&10,
3/22/2021,Monday,Emily,16,plant,2,42.32,14:34,1:24:00,84,15:58,31,638,8&9,
3/22/2021,Monday,Emily,16,organic,2,45.53,14:34,1:26:00,86,16:00,32,638,8&8,
3/22/2021,Monday,Emily,16,mineral,2,44.37,14:34,1:28:00,88,16:02,33,524,"8&8, 22.7C",428
,,,,,,,,,,,,,,
3/25/2021,Thursday,Emily,1C,plant,1,42.35,14:51,1:01:00,61,15:52,1,499,"10&10, 5C fridge was at 2.9C when I got to the lab",405
3/25/2021,Thursday,Emily,1C,organic,1,42.77,14:51,1:04:00,64,15:55,2,392,"10&9, Lab Temp: 21.6C",
3/25/2021,Thursday,Emily,1C,mineral,1,43.89,14:51,1:06:00,66,15:57,3,446,9&10,
3/25/2021,Thursday,Emily,4B,plant,1,42.54,14:52,1:07:00,67,15:59,4,500,9&9,
3/25/2021,Thursday,Emily,4B,organic top,1,46.52,14:52,1:09:00,69,16:01,5,488,8&8,
3/25/2021,Thursday,Emily,4B,organic bottom,1,40.18,14:52,1:11:00,71,16:03,6,465,8&8,
3/25/2021,Thursday,Emily,6B,plant,1,43.07,14:53,1:12:00,72,16:05,7,573,8&8,
3/25/2021,Thursday,Emily,6B,organic,1,44.26,14:53,1:14:00,74,16:07,8,543,8&8,
3/25/2021,Thursday,Emily,6B,mineral,1,47.91,14:53,1:16:00,76,16:09,9,466,8&8,
3/25/2021,Thursday,Emily,10,plant ,1,42.38,14:54,1:17:00,77,16:11,10,506,8&8,
3/25/2021,Thursday,Emily,10,organic,1,44.47,14:54,1:19:00,79,16:13,11,472,8&8,
3/25/2021,Thursday,Emily,13,plant,1,42.49,14:55,1:20:00,80,16:15,12,703,8&7,
3/25/2021,Thursday,Emily,13,organic,1,45.17,14:55,1:22:00,82,16:17,13,460,7&8,
3/25/2021,Thursday,Emily,13,mineral,1,46.34,14:55,1:24:00,84,16:19,14,757,9&8,
3/25/2021,Thursday,Emily,15,plant,1,42.9,14:56,1:25:00,85,16:21,15,642,8&7,
3/25/2021,Thursday,Emily,15,organic,1,45.116,14:56,1:27:00,87,16:23,16,585,7&7,
3/25/2021,Thursday,Emily,1C extra,mineral,1,,,16:25:00,985,16:25,17,2533,10&8,
3/25/2021,Thursday,Emily,3A,plant,2,41.95,15.48,-354:43:12,-21283.2,16:48,18,729,9&9,
3/25/2021,Thursday,Emily,3A,organic,2,45.21,15:48,1:02:00,62,16:50,19,554,9&8,
3/25/2021,Thursday,Emily,3A,mineral,2,43.56,15:48,1:04:00,64,16:52,20,434,8&8,
3/25/2021,Thursday,Emily,7B,plant,2,42.84,15:49,1:05:00,65,16:54,21,747,9&8,
3/25/2021,Thursday,Emily,7B,organic top,2,45.37,15:49,1:07:00,67,16:56,22,787,8&7,
3/25/2021,Thursday,Emily,7B,organic bottom,2,46.06,15:49,1:09:00,69,16:58,23,804,8&7,
3/25/2021,Thursday,Emily,8A,plant,2,43.33,15:50,1:10:00,70,17:00,24,670,8&8,
3/25/2021,Thursday,Emily,8A,organic,2,45.02,15:50,1:12:00,72,17:02,25,507,8&8,
3/25/2021,Thursday,Emily,8A,mineral,2,44.96,15:50,1:14:00,74,17:04,26,464,8&7,
3/25/2021,Thursday,Emily,9,plant,2,41.04,15:52,1:15:00,75,17:07,27,487,8&9,
3/25/2021,Thursday,Emily,9,organic,2,44.99,15:52,1:17:00,77,17:09,28,799,8&7,
3/25/2021,Thursday,Emily,9,mineral,2,48.08,15:52,1:19:00,79,17:11,29,536,7&7,
3/25/2021,Thursday,Emily,14A,plant ,2,43.31,15:53,1:20:00,80,17:13,30,665,8&7,
3/25/2021,Thursday,Emily,14A,organic,2,40.72,15:53,1:22:00,82,17:15,31,520,8&8,
3/25/2021,Thursday,Emily,16,plant,2,42.18,15:55,1:22:00,82,17:17,32,632,10&8,
3/25/2021,Thursday,Emily,16,organic,2,45.36,15:55,1:24:00,84,17:19,33,547,7&7,
3/25/2021,Thursday,Emily,16,mineral,2,44.25,15:55,1:26:00,86,17:21,34,495,"8&8, Lab Temp: 21.7",396
,,,,,,,,,,,,,,
3/29/2021,Monday,Emily,1C,plant,1,42.22,14:05,1:00:00,60,15:05,1,519,"8&8, lab temp: 21.7C",419
3/29/2021,Monday,Emily,1C,organic,1,42.7,14:05,1:02:00,62,15:07,2,383,7&7,
3/29/2021,Monday,Emily,1C,mineral,1,43.82,14:05,1:04:00,64,15:09,3,384,7&8,
3/29/2021,Monday,Emily,4B,plant,1,42.47,14:06,1:05:00,65,15:11,4,475,8&9,
3/29/2021,Monday,Emily,4B,organic top,1,46.41,14:06,1:07:00,67,15:13,5,469,7&7,
3/29/2021,Monday,Emily,4B,organic bottom,1,40.17,14:06,1:09:00,69,15:15,6,423,8&8,
3/29/2021,Monday,Emily,6B,plant,1,43.06,14:07,1:10:00,70,15:17,7,571,8&8,
3/29/2021,Monday,Emily,6B,organic,1,44.25,14:07,1:12:00,72,15:19,8,476,8&7,
3/29/2021,Monday,Emily,6B,mineral,1,47.96,14:07,1:14:00,74,15:21,9,383,7&7,
3/29/2021,Monday,Emily,10,plant,1,43.36,14:08,1:14:00,74,15:22,10,502,7&7,
3/29/2021,Monday,Emily,10,organic,1,44.47,14:08,1:16:00,76,15:24,11,460,9&7,
3/29/2021,Monday,Emily,13,plant,1,42.51,14:08,1:18:00,78,15:26,12,629,7&7,
3/29/2021,Monday,Emily,13,organic,1,45.19,14:09,1:19:00,79,15:28,13,453,7&7,
3/29/2021,Monday,Emily,13,mineral,1,46.4,14:09,1:21:00,81,15:30,14,386,7&7,
3/29/2021,Monday,Emily,15,plant,1,42.91,14:09,1:23:00,83,15:32,15,506,7&7,
3/29/2021,Monday,Emily,15,organic,1,45.2,14:10,1:24:00,84,15:34,16,576,8&7,
3/29/2021,Monday,Emily,3A,plant,2,41.72,14:51,1:00:00,60,15:51,17,694,8&8,
3/29/2021,Monday,Emily,3A,organic,2,45,14:51,1:02:00,62,15:53,18,483,8&7,
3/29/2021,Monday,Emily,3A,mineral,2,43.36,14:51,1:04:00,64,15:55,19,442,8&7,
3/29/2021,Monday,Emily,7B,plant,2,42.61,14:52,1:05:00,65,15:57,20,723,8&7,
3/29/2021,Monday,Emily,7B,organic top,2,45.1,14:52,1:07:00,67,15:59,21,758,8&7,
3/29/2021,Monday,Emily,7B,organic bottom,2,45.83,14:52,1:09:00,69,16:01,22,749,8&8,
3/29/2021,Monday,Emily,8A,plant,2,43.13,14:53,1:10:00,70,16:03,23,699,8&7,
3/29/2021,Monday,Emily,8A,organic,2,44.82,14:53,1:12:00,72,16:05,24,457,8&7,
3/29/2021,Monday,Emily,8A,mineral,2,44.74,14:53,0:13:00,13,15:06,25,409,7&7,
3/29/2021,Monday,Emily,9,plant,2,40.84,14:54,1:14:00,74,16:08,26,503,8&7,
